month,total_sales
2011-01,64363.0
2011-02,60848.0
2011-03,78983.0
2011-04,80698.0
2011-05,91536.0
2011-06,142526.0
2011-07,75412.0
2011-08,132065.0
2011-09,153992.0
2011-10,122853.0
2011-11,175221.0
2011-12,199654.0
2012-01,81584.0
2012-02,64671.0
2012-03,100896.0
2012-04,102668.0
2012-05,133087.0
2012-06,173758.0
2012-07,98307.0
2012-08,167188.0
2012-09,180593.0
2012-10,155952.0
2012-11,225179.0
2012-12,197616.0
2013-01,100754.0
2013-02,94149.0
2013-03,125709.0
2013-04,118212.0
2013-05,152534.0
2013-06,232624.0
2013-07,155678.0
2013-08,209172.0
2013-09,253211.0
2013-10,169227.0
2013-11,239563.0
2013-12,256188.0
2014-01,139080.0
2014-02,120322.0
2014-03,160887.0
2014-04,154016.0
2014-05,185021.0
2014-06,258276.0
2014-07,158948.0
2014-08,276557.0
2014-09,305570.0
2014-10,257664.0
2014-11,348457.0
2014-12,303659.0
